district_id,name,name_ja,english,canon,kind,centre_x,centre_y,lon,lat,area_km2,population,dwellings,jobs,density_per_km2,mean_income_myen,age_65_share,floor_per_capita_m2,character
hikari,Hikari-no-Machi,光の町,Light Quarter,True,cbd,1050.0,1150.0,138.4534,34.8176,12.42,187561,95198,407041,15104,7.45,0.218,106.3,"Деловой и развлекательный центр: стекло, реклама, холодный свет."
tsukimachi,Tsukimachi,月町,Moon Quarter,True,oldtown,-3250.0,3150.0,138.4062,34.8356,20.97,31128,15752,30567,1485,5.06,0.3,79.0,"Старый город: чайные дома, рынки, святилища, дерево и дождь."
tetsuba,Tetsuba,鉄場,Iron Yard,True,industrial,2700.0,2650.0,138.4715,34.8311,16.14,34863,18589,9528,2160,6.22,0.252,82.8,"Промышленный пояс: доки, ремонтные площадки, R&D-центр, ветхое жильё."
port,Seirin-kō,青凛港,Seirin Port,True,port,6400.0,-2150.0,138.5122,34.7878,29.79,0,0,0,0,4.65,0.285,0.0,"Контейнерные терминалы, ремонтные доки, логистика."
minami,Minami-Tetsuba,南鉄場,South Iron Yard,False,reclaimed_housing,4950.0,700.0,138.4962,34.8135,6.63,48666,25466,8893,7342,5.25,0.264,59.8,"Послевоенная засыпка: плотные кварталы, галереи, мастерские."
naka,Naka-machi,中町,Central Quarter,False,mixed,600.0,3100.0,138.4485,34.8351,11.73,120691,65013,47669,10292,6.39,0.228,67.1,"Район между вокзалом и старым городом: магазины, офисы, апартаменты."
higashi,Higashi-kōgai,東郊外,East Suburb,False,suburb,8100.0,3900.0,138.5308,34.8424,28.09,98991,50906,9519,3525,4.72,0.29,58.7,"Дальний пригород у холмов: односемейные дома, школы, поля."
nishi,Nishi-kōgai,西郊外,West Suburb,False,suburb,-7100.0,2600.0,138.364,34.8306,18.34,20343,10772,0,1109,4.68,0.324,58.3,"Западные жилые холмы, огороды, старая железная дорога."
minato_kita,Kita-Minato,北港,North Harbour,False,waterfront,3350.0,-700.0,138.4787,34.8009,2.03,8713,4687,1992,4287,6.08,0.21,71.4,"Набережная: склады, рынок, малая верфь, променад."
tenro,Tenro-sanson,天露山村,Tenro Mountain Villages,True,mountain_village,900.0,9600.0,138.4518,34.8937,12.17,829,458,0,68,4.73,0.365,63.1,Горные поселения у святилища Тэнро и источника Камикуры.
kamikura,Kamikura,上倉,Kamikura,True,mountain_village,3900.0,8000.0,138.4847,34.8793,3.17,223,119,0,70,4.73,0.35,63.9,"Верхняя долина Камикуры: термальные ванны, лесозаготовка."
shelf4,Shelf-4,棚四,Shelf-4 Works,True,construction,-2400.0,11200.0,138.4156,34.9081,13.31,0,0,0,0,4.58,0.285,0.0,"Площадка проекта «Шельф-4»: отсыпка, склады, охрана."
rural_north,Kita-sanson,北山村,Northern Forest,False,rural,5600.0,10800.0,138.5034,34.9045,79.41,42,20,0,1,4.66,0.349,62.6,Северные леса и водосборный бассейн Камикуры.
rural_west,Nishi-sanson,西山,Western Range,False,rural,-8600.0,7600.0,138.3475,34.8757,84.53,0,0,0,0,4.69,0.364,0.0,"Западные хребты: лесозаготовка, террасы, заброшенные деревни."
rural_south,Minami-nōson,南農村,South Coast Farmland,False,rural,-6400.0,-3600.0,138.3716,34.7748,53.99,7505,4117,0,139,4.67,0.341,64.8,"Южное побережье: рисовые поля, теплицы, рыбацкие стоянки."
rural_east,Higashi-sanson,東山,Eastern Hills,False,rural,10300.0,7400.0,138.555,34.8739,29.09,0,0,0,0,4.65,0.357,0.0,"Восточные холмы: чайные террасы, карьеры, дачи."
